PTM Combination,Percentage Abundance
K4unR8unK9unK14unR17unK18unK23un,0.048763522905247346
K4unR8unK9unK14unR17unK18unR26un,0.04372723556936455
K4unR8unK9unK14unR17unK18unK27me3,0.034678590450280954
K4unR8unK9unK14unR17unK18unK36un,0.0499156575940267
K4unR8unK9unK14unR17unK23unR26un,0.03488168452584805
K4unR8unK9unK14unR17unK23unK27me3,0.03222616853742275
K4unR8unK9unK14unR17unK23unK36un,0.0460286605955565
K4unR8unK9unK14unR17unR26unK27me3,0.03411473165299455
K4unR8unK9unK14unR17unR26unK36un,0.0377723089342366
K4unR8unK9unK14unR17unK27me3K36un,0.0337449167223786
K4unR8unK9unK14unK18unK23unR26un,0.07979102513563135
K4unR8unK9unK14unK18unK23unK27me3,0.03222616853742275
K4unR8unK9unK14unK18unK23unK36un,0.0909380012053398
K4unR8unK9unK14unK18unR26unK27me3,0.033540665205129654
K4unR8unK9unK14unK18unR26unK36un,0.07845605160071999
K4unR8unK9unK14unK18unK27me3K36un,0.0332847474613085
K4unR8unK9unK14unK23unR26unK27me3,0.03222616853742275
K4unR8unK9unK14unK23unR26unK36un,0.0770561628259405
K4unR8unK9unK14unK23unK27me3K36un,0.0321468222161572
K4unR8unK9unK14unR26unK27me3K36un,0.0326069914772273
K4unR8unK9unR17unK18unK23unR26un,0.04378319910601146
K4unR8unK9unR17unK18unK23unK27me3,0.039371794833118555
K4unR8unK9unR17unK18unK23unK36un,0.0544847078866533
K4unR8unK9unR17unK18unR26unK27me3,0.03994746199820336
K4unR8unK9unR17unK18unR26unK36un,0.053600385501959
K4unR8unK9unR17unK18unK27me3K36un,0.0401669572686687
K4unR8unK9unR17unK23unR26unK27me3,0.03696964775417206
K4unR8unK9unR17unK23unR26unK36un,0.03967324682523891
K4unR8unK9unR17unK23unK27me3K36un,0.03820381304386271
K4unR8unK9unR17unR26unK27me3K36un,0.03858644602544661
K4unR8unK9unK18unK23unR26unK27me3,0.036927795155478456
K4unR8unK9unK18unK23unR26unK36un,0.08179210635854726
K4unR8unK9unK18unK23unK27me3K36un,0.038161960445169105
K4unR8unK9unK18unR26unK27me3K36un,0.037275791079067304
K4unR8unK9unK23unR26unK27me3K36un,0.03689030143290651
K4unR8unK14unR17unK18unK23unR26un,0.42618275917966636
K4unR8unK14unR17unK18unK23unK27me3,0.3415330401270869
K4unR8unK14unR17unK18unK23unK36un,0.29474575038821954
K4unR8unK14unR17unK18unR26unK27me3,0.3426654736808533
K4unR8unK14unR17unK18unR26unK36un,0.2581351681328718
K4unR8unK14unR17unK18unK27me3K36un,0.23178919736283038
K4unR8unK14unR17unK23unR26unK27me3,0.35255678559728804
K4unR8unK14unR17unK23unR26unK36un,0.262034872363426
K4unR8unK14unR17unK23unK27me3K36un,0.2418570807018207
K4unR8unK14unR17unR26unK27me3K36un,0.24265155359764548
K4unR8unK14unK18unK23unR26unK27me3,0.34311094096991995
K4unR8unK14unK18unK23unR26unK36un,0.3032969049085927
K4unR8unK14unK18unK23unK27me3K36un,0.23241123607445258
K4unR8unK14unK18unR26unK27me3K36un,0.23222917296051207
K4unR8unK14unK23unR26unK27me3K36un,0.24343498154465368
K4unR8unR17unK18unK23unR26unK27me3,0.44004669415262276
K4unR8unR17unK18unK23unR26unK36un,0.4597060258199376
K4unR8unR17unK18unK23unK27me3K36un,0.3306605008681115
K4unR8unR17unK18unR26unK27me3K36un,0.32992793878906546
K4unR8unR17unK23unR26unK27me3K36un,0.34108256136180104
K4unR8unK18unK23unR26unK27me3K36un,0.3309248900999884
K4unK9unK14unR17unK18unK23unR26un,0.03488168452584805
K4unK9unK14unR17unK18unK23unK27me3,0.03222616853742275
K4unK9unK14unR17unK18unK23unK36un,0.0460286605955565
K4unK9unK14unR17unK18unR26unK27me3,0.033540665205129654
K4unK9unK14unR17unK18unR26unK36un,0.0335467109909367
K4unK9unK14unR17unK18unK27me3K36un,0.0332847474613085
K4unK9unK14unR17unK23unR26unK27me3,0.03222616853742275
K4unK9unK14unR17unK23unR26unK36un,0.0321468222161572
K4unK9unK14unR17unK23unK27me3K36un,0.0321468222161572
K4unK9unK14unR17unR26unK27me3K36un,0.0326069914772273
K4unK9unK14unK18unK23unR26unK27me3,0.03222616853742275
K4unK9unK14unK18unK23unR26unK36un,0.0770561628259405
K4unK9unK14unK18unK23unK27me3K36un,0.0321468222161572
K4unK9unK14unK18unR26unK27me3K36un,0.0321468222161572
K4unK9unK14unK23unR26unK27me3K36un,0.0321468222161572
K4unK9unR17unK18unK23unR26unK27me3,0.036927795155478456
K4unK9unR17unK18unK23unR26unK36un,0.036848448834212906
K4unK9unR17unK18unK23unK27me3K36un,0.038161960445169105
K4unK9unR17unK18unR26unK27me3K36un,0.037275791079067304
K4unK9unR17unK23unR26unK27me3K36un,0.03689030143290651
K4unK9unK18unK23unR26unK27me3K36un,0.03707805324958201
K4unK14unR17unK18unK23unR26unK27me3,0.34097409430034453
K4unK14unR17unK18unK23unR26unK36un,0.2755796120095407
K4unK14unR17unK18unK23unK27me3K36un,0.23027438940487718
K4unK14unR17unK18unR26unK27me3K36un,0.23009232629093668
K4unK14unR17unK23unR26unK27me3K36un,0.24129813487507829
K4unK14unK18unK23unR26unK27me3K36un,0.23185229024771017
K4unR17unK18unK23unR26unK27me3K36un,0.32878804343041296
R8unK9unK14unR17unK18unK23unR26un,0.03488168452584805
R8unK9unK14unR17unK18unK23unK27me3,0.03222616853742275
R8unK9unK14unR17unK18unK23unK36un,0.0460286605955565
R8unK9unK14unR17unK18unR26unK27me3,0.033540665205129654
R8unK9unK14unR17unK18unR26unK36un,0.0335467109909367
R8unK9unK14unR17unK18unK27me3K36un,0.0332847474613085
R8unK9unK14unR17unK23unR26unK27me3,0.03222616853742275
R8unK9unK14unR17unK23unR26unK36un,0.0321468222161572
R8unK9unK14unR17unK23unK27me3K36un,0.0321468222161572
R8unK9unK14unR17unR26unK27me3K36un,0.0326069914772273
R8unK9unK14unK18unK23unR26unK27me3,0.03222616853742275
R8unK9unK14unK18unK23unR26unK36un,0.0770561628259405
R8unK9unK14unK18unK23unK27me3K36un,0.0321468222161572
R8unK9unK14unK18unR26unK27me3K36un,0.0321468222161572
R8unK9unK14unK23unR26unK27me3K36un,0.0321468222161572
R8unK9unR17unK18unK23unR26unK27me3,0.036927795155478456
R8unK9unR17unK18unK23unR26unK36un,0.036848448834212906
R8unK9unR17unK18unK23unK27me3K36un,0.038161960445169105
R8unK9unR17unK18unR26unK27me3K36un,0.037275791079067304
R8unK9unR17unK23unR26unK27me3K36un,0.03689030143290651
R8unK9unK18unK23unR26unK27me3K36un,0.036848448834212906
