filename,condition,sample_name,biorep,histone
kidney_18mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,kidney_18mo,kidney_18mo_2_H3.2,2,H3.2
kidney_18mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,kidney_18mo,kidney_18mo_2_H3.3,2,H3.3
kidney_24mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,kidney_24mo,kidney_24mo_1_H3.2,1,H3.2
kidney_24mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,kidney_24mo,kidney_24mo_1_H3.3,1,H3.3
kidney_24mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,kidney_24mo,kidney_24mo_2_H3.2,2,H3.2
kidney_24mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,kidney_24mo,kidney_24mo_2_H3.3,2,H3.3
kidney_3mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,kidney_3mo,kidney_3mo_1_H3.2,1,H3.2
kidney_3mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,kidney_3mo,kidney_3mo_1_H3.3,1,H3.3
kidney_3mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,kidney_3mo,kidney_3mo_2_H3.2,2,H3.2
kidney_3mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,kidney_3mo,kidney_3mo_2_H3.3,2,H3.3
kidney_3mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,kidney_3mo,kidney_3mo_3_H3.2,3,H3.2
kidney_3mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,kidney_3mo,kidney_3mo_3_H3.3,3,H3.3
kidney_3mo_4-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,kidney_3mo,kidney_3mo_4_H3.2,4,H3.2
kidney_3mo_4-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,kidney_3mo,kidney_3mo_4_H3.3,4,H3.3
kidney_5mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,kidney_5mo,kidney_5mo_1_H3.2,1,H3.2
kidney_5mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,kidney_5mo,kidney_5mo_1_H3.3,1,H3.3
kidney_5mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,kidney_5mo,kidney_5mo_2_H3.2,2,H3.2
kidney_5mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,kidney_5mo,kidney_5mo_2_H3.3,2,H3.3
kidney_5mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,kidney_5mo,kidney_5mo_3_H3.2,3,H3.2
kidney_5mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,kidney_5mo,kidney_5mo_3_H3.3,3,H3.3
kidney_5mo_4-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,kidney_5mo,kidney_5mo_4_H3.2,4,H3.2
kidney_5mo_4-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,kidney_5mo,kidney_5mo_4_H3.3,4,H3.3
liver_10mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,liver_10mo,liver_10mo_1_H3.2,1,H3.2
liver_10mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,liver_10mo,liver_10mo_1_H3.3,1,H3.3
liver_10mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,liver_10mo,liver_10mo_2_H3.2,2,H3.2
liver_10mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,liver_10mo,liver_10mo_2_H3.3,2,H3.3
liver_10mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,liver_10mo,liver_10mo_3_H3.2,3,H3.2
liver_10mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,liver_10mo,liver_10mo_3_H3.3,3,H3.3
liver_10mo_4-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,liver_10mo,liver_10mo_4_H3.2,4,H3.2
liver_10mo_4-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,liver_10mo,liver_10mo_4_H3.3,4,H3.3
liver_18mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,liver_18mo,liver_18mo_1_H3.2,1,H3.2
liver_18mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,liver_18mo,liver_18mo_1_H3.3,1,H3.3
liver_18mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,liver_18mo,liver_18mo_2_H3.2,2,H3.2
liver_18mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,liver_18mo,liver_18mo_2_H3.3,2,H3.3
liver_24mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,liver_24mo,liver_24mo_1_H3.2,1,H3.2
liver_24mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,liver_24mo,liver_24mo_1_H3.3,1,H3.3
liver_24mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,liver_24mo,liver_24mo_2_H3.3,2,H3.3
liver_24mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,liver_24mo,liver_24mo_2_H3.2,2,H3.2
liver_3mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,liver_3mo,liver_3mo_1_H3.2,1,H3.2
liver_3mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,liver_3mo,liver_3mo_1_H3.3,1,H3.3
liver_3mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,liver_3mo,liver_3mo_2_H3.2,2,H3.2
liver_3mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,liver_3mo,liver_3mo_2_H3.3,2,H3.3
liver_3mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,liver_3mo,liver_3mo_3_H3.2,3,H3.2
liver_3mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,liver_3mo,liver_3mo_3_H3.3,3,H3.3
liver_3mo_4-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,liver_3mo,liver_3mo_4_H3.2,4,H3.2
liver_3mo_4-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,liver_3mo,liver_3mo_4_H3.3,4,H3.3
liver_5mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,liver_5mo,liver_5mo_1_H3.2,1,H3.2
liver_5mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,liver_5mo,liver_5mo_1_H3.3,1,H3.3
liver_5mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,liver_5mo,liver_5mo_2_H3.2,2,H3.2
liver_5mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,liver_5mo,liver_5mo_2_H3.3,2,H3.3
liver_5mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,liver_5mo,liver_5mo_3_H3.2,3,H3.2
liver_5mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,liver_5mo,liver_5mo_3_H3.3,3,H3.3
liver_5mo_4-results_full_proteoform_Histone_H3.2_sorted_proteoform_interplay_scores.csv,liver_5mo,liver_5mo_4_H3.2,4,H3.2
liver_5mo_4-results_full_proteoform_Histone_H3.3_sorted_proteoform_interplay_scores.csv,liver_5mo,liver_5mo_4_H3.3,4,H3.3
