filename,condition,sample_name,biorep,histone
processed_heart_5mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,heart_5mo,heart_5mo_1,1,H3.3
processed_heart_5mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,heart_5mo,heart_5mo_2,2,H3.2
processed_heart_5mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,heart_5mo,heart_5mo_2,2,H3.3
processed_heart_5mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,heart_5mo,heart_5mo_3,3,H3.2
processed_heart_5mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,heart_5mo,heart_5mo_3,3,H3.3
processed_heart_5mo_4-results._full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,heart_5mo,heart_5mo_4,4,H3.2
processed_heart_5mo_4-results._full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,heart_5mo,heart_5mo_4,4,H3.3
processed_heart_10mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,heart_10mo,heart_10mo_1,1,H3.2
processed_heart_10mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,heart_10mo,heart_10mo_1,1,H3.3
processed_heart_10mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,heart_10mo,heart_10mo_2,2,H3.2
processed_heart_10mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,heart_10mo,heart_10mo_2,2,H3.3
processed_heart_10mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,heart_10mo,heart_10mo_3,3,H3.2
processed_heart_10mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,heart_10mo,heart_10mo_3,3,H3.3
processed_heart_10mo_4-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,heart_10mo,heart_10mo_4,4,H3.2
processed_heart_10mo_4-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,heart_10mo,heart_10mo_4,4,H3.3
processed_heart_18mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,heart_18mo,heart_18mo_1,1,H3.2
processed_heart_18mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,heart_18mo,heart_18mo_1,1,H3.3
processed_heart_18mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,heart_18mo,heart_18mo_2,2,H3.2
processed_heart_18mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,heart_18mo,heart_18mo_2,2,H3.3
processed_heart_24mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,heart_24mo,heart_24mo_1,1,H3.2
processed_heart_24mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,heart_24mo,heart_24mo_1,1,H3.3
processed_heart_24mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,heart_24mo,heart_24mo_2,2,H3.2
processed_heart_24mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,heart_24mo,heart_24mo_2,2,H3.3
processed_kidney_3mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,kidney_3mo,kidney_3mo_1,1,H3.2
processed_kidney_3mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,kidney_3mo,kidney_3mo_1,1,H3.3
processed_kidney_3mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,kidney_3mo,kidney_3mo_2,2,H3.2
processed_kidney_3mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,kidney_3mo,kidney_3mo_2,2,H3.3
processed_kidney_3mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,kidney_3mo,kidney_3mo_3,3,H3.2
processed_kidney_3mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,kidney_3mo,kidney_3mo_3,3,H3.3
processed_kidney_3mo_4-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,kidney_3mo,kidney_3mo_4,4,H3.2
processed_kidney_3mo_4-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,kidney_3mo,kidney_3mo_4,4,H3.3
processed_kidney_5mo_1-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,kidney_5mo,kidney_5mo_1,1,H3.2
processed_kidney_5mo_1-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,kidney_5mo,kidney_5mo_1,1,H3.3
processed_kidney_5mo_2-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,kidney_5mo,kidney_5mo_2,2,H3.2
processed_kidney_5mo_2-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,kidney_5mo,kidney_5mo_2,2,H3.3
processed_kidney_5mo_3-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,kidney_5mo,kidney_5mo_3,3,H3.2
processed_kidney_5mo_3-results_full_proteoform_Histone_H3.3_sorted_proteoform_delta_I_scores.csv,kidney_5mo,kidney_5mo_3,3,H3.3
processed_kidney_5mo_4-results_full_proteoform_Histone_H3.2_sorted_proteoform_delta_I_scores.csv,kidney_5mo,kidney_5mo_4,4,H3.2
