PTM Combination,Percentage Abundance
K4unR8unK9unK14unR17unK18un,0.041673638953626704
K4unR8unK9unK14unR17unK23un,0.038688547260363304
K4unR8unK9unK14unR17unR26un,0.0324819616176507
K4unR8unK9unK14unR17unK27me2,0.0267973718024248
K4unR8unK9unK14unR17unK36me2,0.019747646251208905
K4unR8unK9unK14unK18unK23un,0.04539978514676201
K4unR8unK9unK14unK18unR26un,0.0297842477360573
K4unR8unK9unK14unK18unK27me2,0.0263403184872889
K4unR8unK9unK14unK18unK36me2,0.0143482087435372
K4unR8unK9unK14unK23unR26un,0.0288077502490162
K4unR8unK9unK14unK23unK27me2,0.0238362618345494
K4unR8unK9unK14unK23unK36me2,0.0135685724438615
K4unR8unK9unK14unR26unK27me2,0.027933299799846
K4unR8unK9unK14unR26unK36me2,0.020949303361573704
K4unR8unK9unK14unK27me2K36me2,0.0135675172479444
K4unR8unK9unR17unK18unK23un,0.07242527112107829
K4unR8unK9unR17unK18unR26un,0.06542738446746138
K4unR8unK9unR17unK18unK27me2,0.0504460965444398
K4unR8unK9unR17unK18unK36me2,0.035172116459402
K4unR8unK9unR17unK23unR26un,0.06020286007208019
K4unR8unK9unR17unK23unK27me2,0.0458335090394408
K4unR8unK9unR17unK23unK36me2,0.0322839493074668
K4unR8unK9unR17unR26unK27me2,0.057787152095670084
K4unR8unK9unR17unR26unK36me2,0.048503672714908394
K4unR8unK9unR17unK27me2K36me2,0.034951004951324194
K4unR8unK9unK18unK23unR26un,0.07864294591361089
K4unR8unK9unK18unK23unK27me2,0.0675038949199829
K4unR8unK9unK18unK23unK36me2,0.0472158156908087
K4unR8unK9unK18unR26unK27me2,0.06931603083182619
K4unR8unK9unK18unR26unK36me2,0.052311644555067593
K4unR8unK9unK18unK27me2K36me2,0.041982024756737596
K4unR8unK9unK23unR26unK27me2,0.06542583045165659
K4unR8unK9unK23unR26unK36me2,0.049423477403132396
K4unR8unK9unK23unK27me2K36me2,0.03957489264532631
K4unR8unK9unR26unK27me2K36me2,0.0526577296304879
K4unR8unK14unR17unK18unK23un,0.38841506541965115
K4unR8unK14unR17unK18unR26un,0.38261701326526937
K4unR8unK14unR17unK18unK27me2,0.09879417582503121
K4unR8unK14unR17unK18unK36me2,0.0689897450688867
K4unR8unK14unR17unK23unR26un,0.37200504222491065
K4unR8unK14unR17unK23unK27me2,0.09750674087929861
K4unR8unK14unR17unK23unK36me2,0.0694267304762179
K4unR8unK14unR17unR26unK27me2,0.10384443941105272
K4unR8unK14unR17unR26unK36me2,0.07680746139393012
K4unR8unK14unR17unK27me2K36me2,0.03559979695728279
K4unR8unK14unK18unK23unR26un,0.44339372724781645
K4unR8unK14unK18unK23unK27me2,0.1475978311464744
K4unR8unK14unK18unK23unK36me2,0.1127094856472438
K4unR8unK14unK18unR26unK27me2,0.14452657791023643
K4unR8unK14unK18unR26unK36me2,0.1129219253634214
K4unR8unK14unK18unK27me2K36me2,0.0717142609267741
K4unR8unK14unK23unR26unK27me2,0.1439615300893332
K4unR8unK14unK23unR26unK36me2,0.11335891077075261
K4unR8unK14unK23unK27me2K36me2,0.07263228137462921
K4unR8unK14unR26unK27me2K36me2,0.0800991738353156
K4unR8unR17unK18unK23unR26un,0.5589279148089286
K4unR8unR17unK18unK23unK27me2,0.27163254271787923
K4unR8unR17unK18unK23unK36me2,0.23184421271659877
K4unR8unR17unK18unR26unK27me2,0.27393448138904836
K4unR8unR17unK18unR26unK36me2,0.23694004158085769
K4unR8unR17unK18unK27me2K36me2,0.19278454345950968
K4unR8unR17unK23unR26unK27me2,0.45646683724516113
K4unR8unR17unK23unR26unK36me2,0.4093303914726962
K4unR8unR17unK23unK27me2K36me2,0.3656559283918721
K4unR8unR17unR26unK27me2K36me2,0.39858393091636096
K4unR8unK18unK23unR26unK27me2,0.3369158833499705
K4unR8unK18unK23unR26unK36me2,0.29171426399643435
K4unR8unK18unK23unK27me2K36me2,0.24803980091561018
K4unR8unK18unR26unK27me2K36me2,0.2532217913228433
K4unR8unK23unR26unK27me2K36me2,0.42609317625520565
K4unK9unK14unR17unK18unK23un,0.038688547260363304
K4unK9unK14unR17unK18unR26un,0.0253136704161161
K4unK9unK14unR17unK18unK27me2,0.019629080600890202
K4unK9unK14unR17unK18unK36me2,0.012579355049674302
K4unK9unK14unR17unK23unR26un,0.023050965847682098
K4unK9unK14unR17unK23unK27me2,0.0171250239481507
K4unK9unK14unR17unK23unK36me2,0.011799718749998602
K4unK9unK14unR17unR26unK27me2,0.023462722479904802
K4unK9unK14unR17unR26unK36me2,0.019180449667710802
K4unK9unK14unR17unK27me2K36me2,0.0117986635540815
K4unK9unK14unK18unK23unR26un,0.0275215431676233
K4unK9unK14unK18unK23unK27me2,0.0238362618345494
K4unK9unK14unK18unK23unK36me2,0.0135685724438615
K4unK9unK14unK18unR26unK27me2,0.0207650085983114
K4unK9unK14unK18unR26unK36me2,0.0137810121600391
K4unK9unK14unK18unK27me2K36me2,0.0063992260464098
K4unK9unK14unK23unR26unK27me2,0.018983339070401298
K4unK9unK14unK23unR26unK36me2,0.013001375860363401
K4unK9unK14unK23unK27me2K36me2,0.006100624787258
K4unK9unK14unR26unK27me2K36me2,0.0135675172479444
K4unK9unR17unK18unK23unR26un,0.052221051189241495
K4unK9unR17unK18unK23unK27me2,0.038841339629156
K4unK9unR17unK18unK23unK36me2,0.025291779897182
K4unK9unR17unK18unR26unK27me2,0.04289413610745679
K4unK9unR17unK18unR26unK36me2,0.0303876087614409
K4unK9unR17unK18unK27me2K36me2,0.0200579889631109
K4unK9unR17unK23unR26unK27me2,0.03900393572728719
K4unK9unR17unK23unR26unK36me2,0.0274994416095057
K4unK9unR17unK23unK27me2K36me2,0.0176508568516996
K4unK9unR17unR26unK27me2K36me2,0.0307336938368612
K4unK9unK18unK23unR26unK27me2,0.0728057363980155
K4unK9unK18unK23unR26unK36me2,0.056803383349491296
K4unK9unK18unK23unK27me2K36me2,0.0469547985916852
K4unK9unK18unR26unK27me2K36me2,0.0521367889989183
K4unK9unK23unR26unK27me2K36me2,0.049729656887507
K4unK14unR17unK18unK23unR26un,0.3815230436945875
K4unK14unR17unK18unK23unK27me2,0.1079274912341034
K4unK14unR17unK18unK23unK36me2,0.0798474808310227
K4unK14unR17unK18unR26unK27me2,0.1070968985643229
K4unK14unR17unK18unR26unK36me2,0.0800599205472003
K4unK14unR17unK18unK27me2K36me2,0.038852256110553
K4unK14unR17unK23unR26unK27me2,0.10653185074341971
K4unK14unR17unK23unR26unK36me2,0.08049690595453152
K4unK14unR17unK23unK27me2K36me2,0.0397702765584081
K4unK14unR17unR26unK27me2K36me2,0.04723716901909449
K4unK14unK18unK23unR26unK27me2,0.1551981771126005
K4unK14unK18unK23unR26unK36me2,0.1237796611255574
K4unK14unK18unK23unK27me2K36me2,0.083053031729434
K4unK14unK18unR26unK27me2K36me2,0.0833516329885858
K4unK14unK23unR26unK27me2K36me2,0.08426965343644091
K4unR17unK18unK23unR26unK27me2,0.2754126573858277
K4unR17unK18unK23unR26unK36me2,0.2394202508058715
K4unR17unK18unK23unK27me2K36me2,0.19574578772504742
K4unR17unK18unR26unK27me2K36me2,0.2009277781322805
K4unR17unK23unR26unK27me2K36me2,0.3737991630646429
K4unK18unK23unR26unK27me2K36me2,0.2705551109450247
R8unK9unK14unR17unK18unK23un,0.038688547260363304
R8unK9unK14unR17unK18unR26un,0.0253136704161161
R8unK9unK14unR17unK18unK27me2,0.019629080600890202
R8unK9unK14unR17unK18unK36me2,0.012579355049674302
R8unK9unK14unR17unK23unR26un,0.023050965847682098
R8unK9unK14unR17unK23unK27me2,0.0171250239481507
R8unK9unK14unR17unK23unK36me2,0.011799718749998602
R8unK9unK14unR17unR26unK27me2,0.023462722479904802
R8unK9unK14unR17unR26unK36me2,0.019180449667710802
R8unK9unK14unR17unK27me2K36me2,0.0117986635540815
R8unK9unK14unK18unK23unR26un,0.0275215431676233
R8unK9unK14unK18unK23unK27me2,0.0238362618345494
R8unK9unK14unK18unK23unK36me2,0.0135685724438615
R8unK9unK14unK18unR26unK27me2,0.0207650085983114
R8unK9unK14unK18unR26unK36me2,0.0137810121600391
R8unK9unK14unK18unK27me2K36me2,0.0063992260464098
R8unK9unK14unK23unR26unK27me2,0.018983339070401298
R8unK9unK14unK23unR26unK36me2,0.013001375860363401
R8unK9unK14unK23unK27me2K36me2,0.006100624787258
R8unK9unK14unR26unK27me2K36me2,0.0135675172479444
R8unK9unR17unK18unK23unR26un,0.051517849444722597
R8unK9unR17unK18unK23unK27me2,0.0381381378846371
R8unK9unR17unK18unK23unK36me2,0.0245885781526631
R8unK9unR17unK18unR26unK27me2,0.042190934362937894
R8unK9unR17unK18unR26unK36me2,0.029684407016922
R8unK9unR17unK18unK27me2K36me2,0.019354787218592
R8unK9unR17unK23unR26unK27me2,0.038300733982768294
R8unK9unR17unK23unR26unK36me2,0.0267962398649868
R8unK9unR17unK23unK27me2K36me2,0.0169476551071807
R8unK9unR17unR26unK27me2K36me2,0.030030492092342303
R8unK9unK18unK23unR26unK27me2,0.05773045929685291
R8unK9unK18unK23unR26unK36me2,0.0417281062483287
R8unK9unK18unK23unK27me2K36me2,0.0318795214905226
R8unK9unK18unR26unK27me2K36me2,0.0370615118977557
R8unK9unK23unR26unK27me2K36me2,0.034654379786344405
R8unK14unR17unK18unK23unR26un,0.3698856716327758
R8unK14unR17unK18unK23unK27me2,0.0962901191722917
R8unK14unR17unK18unK23unK36me2,0.06821010876921099
R8unK14unR17unK18unR26unK27me2,0.0954595265025112
R8unK14unR17unK18unR26unK36me2,0.0684225484853886
R8unK14unR17unK18unK27me2K36me2,0.027214884048741297
R8unK14unR17unK23unR26unK27me2,0.09489447868160801
R8unK14unR17unK23unR26unK36me2,0.06885953389271982
R8unK14unR17unK23unK27me2K36me2,0.028132904496596396
R8unK14unR17unR26unK27me2K36me2,0.03559979695728279
R8unK14unK18unK23unR26unK27me2,0.1427449083823263
R8unK14unK18unK23unR26unK36me2,0.1121422890637457
R8unK14unK18unK23unK27me2K36me2,0.0714156596676223
R8unK14unK18unR26unK27me2K36me2,0.0717142609267741
R8unK14unK23unR26unK27me2K36me2,0.07263228137462921
R8unR17unK18unK23unR26unK27me2,0.28313538689295425
R8unR17unK18unK23unR26unK36me2,0.247142980312998
R8unR17unK18unK23unK27me2K36me2,0.2034685172321739
R8unR17unK18unR26unK27me2K36me2,0.208650507639407
R8unR17unK23unR26unK27me2K36me2,0.38264383442694416
R8unK18unK23unR26unK27me2K36me2,0.26390576509550756
K9unK14unR17unK18unK23unR26un,0.023050965847682098
K9unK14unR17unK18unK23unK27me2,0.0171250239481507
K9unK14unR17unK18unK23unK36me2,0.011799718749998602
K9unK14unR17unK18unR26unK27me2,0.016294431278370197
K9unK14unR17unK18unR26unK36me2,0.012012158466176199
K9unK14unR17unK18unK27me2K36me2,0.0046303723525468994
K9unK14unR17unK23unR26unK27me2,0.014512761750460098
K9unK14unR17unK23unR26unK36me2,0.0112325221665005
K9unK14unR17unK23unK27me2K36me2,0.0043317710933951
K9unK14unR17unR26unK27me2K36me2,0.0117986635540815
K9unK14unK18unK23unR26unK27me2,0.018983339070401298
K9unK14unK18unK23unR26unK36me2,0.013001375860363401
K9unK14unK18unK23unK27me2K36me2,0.006100624787258
K9unK14unK18unR26unK27me2K36me2,0.0063992260464098
K9unK14unK23unR26unK27me2K36me2,0.006100624787258
K9unR17unK18unK23unR26unK27me2,0.031308564572483495
K9unR17unK18unK23unR26unK36me2,0.019804070454702
K9unR17unK18unK23unK27me2K36me2,0.0099554856968959
K9unR17unK18unR26unK27me2K36me2,0.015137476104129
K9unR17unK23unR26unK27me2K36me2,0.0127303439927177
K9unK18unK23unR26unK27me2K36me2,0.0420342857327033
K14unR17unK18unK23unR26unK27me2,0.1053152290364128
